KODJAZ,TYPVAZ,AKRCIS1,KODCIS1,CHODNOTA1,TEXT1,AKRCIS2,KODCIS2,CHODNOTA2,TEXT2
"CS","Editaèní vazba","OKRES_NUTS",101,"40169","Benešov","CISOB",43,"513482","Vysokı Újezd"
"CS","Editaèní vazba","OKRES_NUTS",101,"40169","Benešov","CISOB",43,"529303","Benešov"
"CS","Editaèní vazba","OKRES_NUTS",101,"40169","Benešov","CISOB",43,"529451","Bystøice"
"CS","Editaèní vazba","OKRES_NUTS",101,"40169","Benešov","CISOB",43,"529478","Èakov"
"CS","Editaèní vazba","OKRES_NUTS",101,"40169","Benešov","CISOB",43,"529486","Èechtice"
"CS","Editaèní vazba","OKRES_NUTS",101,"40169","Benešov","CISOB",43,"529516","Èerèany"
"CS","Editaèní vazba","OKRES_NUTS",101,"40169","Benešov","CISOB",43,"529532","Èervenı Újezd"
"CS","Editaèní vazba","OKRES_NUTS",101,"40169","Benešov","CISOB",43,"529541","Èeskı Šternberk"
"CS","Editaèní vazba","OKRES_NUTS",101,"40169","Benešov","CISOB",43,"529567","Ètyøkoly"
"CS","Editaèní vazba","OKRES_NUTS",101,"40169","Benešov","CISOB",43,"529621","Divišov"
"CS","Editaèní vazba","OKRES_NUTS",101,"40169","Benešov","CISOB",43,"529648","Dolní Kralovice"
"CS","Editaèní vazba","OKRES_NUTS",101,"40169","Benešov","CISOB",43,"529702","Heømanièky"
"CS","Editaèní vazba","OKRES_NUTS",101,"40169","Benešov","CISOB",43,"529737","Hulice"
"CS","Editaèní vazba","OKRES_NUTS",101,"40169","Benešov","CISOB",43,"529745","Hvìzdonice"
"CS","Editaèní vazba","OKRES_NUTS",101,"40169","Benešov","CISOB",43,"529770","Chlum"
"CS","Editaèní vazba","OKRES_NUTS",101,"40169","Benešov","CISOB",43,"529788","Chmelná"
"CS","Editaèní vazba","OKRES_NUTS",101,"40169","Benešov","CISOB",43,"529796","Chocerady"
"CS","Editaèní vazba","OKRES_NUTS",101,"40169","Benešov","CISOB",43,"529818","Chotıšany"
"CS","Editaèní vazba","OKRES_NUTS",101,"40169","Benešov","CISOB",43,"529842","Jankov"
"CS","Editaèní vazba","OKRES_NUTS",101,"40169","Benešov","CISOB",43,"529851","Javorník"
